"team","abbreviation","off_yards"
"Indianapolis Colts","IND",396.9
"Buffalo Bills","BUF",387.4
"Dallas Cowboys","DAL",378.7
"Chicago Bears","CHI",373.8
"Detroit Lions","DET",366.9
"Seattle Seahawks","SEA",365.8
"Kansas City Chiefs","KC",364.2
"Los Angeles Rams","LAR",360.9
"New England Patriots","NE",357.0
"San Francisco 49ers","SF",349.4
"Los Angeles Chargers","LAC",336.9
"Green Bay Packers","GB",344.0
"Denver Broncos","DEN",335.3
"Arizona Cardinals","ARI",333.5
"New York Giants","NYG",333.2
"Atlanta Falcons","ATL",332.5
"Tampa Bay Buccaneers","TB",322.2
"Washington Commanders","WAS",330.2
"Houston Texans","HOU",329.6
"Jacksonville Jaguars","JAX",326.9
"Baltimore Ravens","BAL",322.0
"Carolina Panthers","CAR",314.3
"Cincinnati Bengals","CIN",307.1
"Miami Dolphins","MIA",300.4
"Philadelphia Eagles","PHI",300.1
"New Orleans Saints","NO",297.2
"Minnesota Vikings","MIN",296.4
"Pittsburgh Steelers","PIT",286.9
"New York Jets","NYJ",281.6
"Las Vegas Raiders","LV",276.7
"Cleveland Browns","CLE",257.3
"Tennessee Titans","TEN",242.5
