"team","abbreviation","pace"
"Denver Nuggets","DEN",98.4
"Cleveland Cavaliers","CLE",101.8
"Oklahoma City Thunder","OKC",100.7
"Minnesota Timberwolves","MIN",101.7
"Miami Heat","MIA",104.9
"Utah Jazz","UTAH",102.9
"San Antonio Spurs","SA",100.9
"New York Knicks","NY",98.7
"Atlanta Hawks","ATL",102.9
"Detroit Pistons","DET",100.4
"Chicago Bulls","CHI",102.3
"Portland Trail Blazers","POR",102.1
"Philadelphia 76ers","PHI",99.6
"Los Angeles Lakers","LAL",99.7
"Charlotte Hornets","CHA",98.5
"Golden State Warriors","GS",100.7
"Memphis Grizzlies","MEM",101.3
"Boston Celtics","BOS",95.7
"Orlando Magic","ORL",100.6
"Houston Rockets","HOU",96.6
"New Orleans Pelicans","NO",101.1
"Dallas Mavericks","DAL",102.5
"Toronto Raptors","TOR",99.3
"Phoenix Suns","PHX",99.0
"Washington Wizards","WSH",102.0
"LA Clippers","LAC",96.6
"Milwaukee Bucks","MIL",98.4
"Indiana Pacers","IND",101.6
"Sacramento Kings","SAC",100.0
"Brooklyn Nets","BKN",96.9
